"","line","stop_name","latitude","longitude","borough"
"1","Astoria","Astoria-Ditmars Blvd",40.775036,-73.912034,"Queens"
"2","Astoria","Astoria Blvd",40.770258,-73.917843,"Queens"
"3","Astoria","30 Av",40.766779,-73.921479,"Queens"
"4","Astoria","Broadway",40.76182,-73.925508,"Queens"
"5","Astoria","36 Av",40.756804,-73.929575,"Queens"
"6","Astoria","39 Av-Dutch Kills",40.752882,-73.932755,"Queens"
"7","Astoria","Lexington Av/59 St",40.76266,-73.967258,"Manhattan"
"8","Astoria","5 Av/59 St",40.764811,-73.973347,"Manhattan"
"9","Broadway - Brighton","57 St-7 Av",40.764664,-73.980658,"Manhattan"
"10","Broadway - Brighton","49 St",40.759901,-73.984139,"Manhattan"
"11","Broadway - Brighton","Times Sq-42 St",40.754672,-73.986754,"Manhattan"
"12","Broadway - Brighton","34 St-Herald Sq",40.749567,-73.98795,"Manhattan"
"13","Broadway - Brighton","28 St",40.745494,-73.988691,"Manhattan"
"14","Broadway - Brighton","23 St",40.741303,-73.989344,"Manhattan"
"15","Broadway - Brighton","14 St-Union Sq",40.735736,-73.990568,"Manhattan"
"16","Broadway - Brighton","8 St-NYU",40.730328,-73.992629,"Manhattan"
"17","Broadway - Brighton","Prince St",40.724329,-73.997702,"Manhattan"
"18","Broadway","Canal St",40.719527,-74.001775,"Manhattan"
"19","Manhattan Bridge","Canal St",40.718383,-74.00046,"Manhattan"
"20","Broadway","City Hall",40.713282,-74.006978,"Manhattan"
"21","Broadway","Cortlandt St",40.710668,-74.011029,"Manhattan"
"22","Broadway","Rector St",40.70722,-74.013342,"Manhattan"
"23","Broadway","Whitehall St-South Ferry",40.703087,-74.012994,"Manhattan"
"24","Broadway","Court St",40.6941,-73.991777,"Brooklyn"
"25","Broadway","Jay St-MetroTech",40.69218,-73.985942,"Brooklyn"
"26","Broadway - Brighton","DeKalb Av",40.690635,-73.981824,"Brooklyn"
"27","4th Av","Atlantic Av-Barclays Ctr",40.683666,-73.97881,"Brooklyn"
"28","4th Av","Union St",40.677316,-73.98311,"Brooklyn"
"29","4th Av","4 Av-9 St",40.670847,-73.988302,"Brooklyn"
"30","4th Av","Prospect Av",40.665414,-73.992872,"Brooklyn"
"31","4th Av","25 St",40.660397,-73.998091,"Brooklyn"
"32","4th Av","36 St",40.655144,-74.003549,"Brooklyn"
"33","4th Av","45 St",40.648939,-74.010006,"Brooklyn"
"34","4th Av","53 St",40.645069,-74.014034,"Brooklyn"
"35","4th Av","59 St",40.641362,-74.017881,"Brooklyn"
"36","4th Av","Bay Ridge Av",40.634967,-74.023377,"Brooklyn"
"37","4th Av","77 St",40.629742,-74.02551,"Brooklyn"
"38","4th Av","86 St",40.622687,-74.028398,"Brooklyn"
"39","4th Av","Bay Ridge-95 St",40.616622,-74.030876,"Brooklyn"
"40","Broadway - Brighton","Atlantic Av-Barclays Ctr",40.68446,-73.97689,"Brooklyn"
"41","Broadway - Brighton","7 Av",40.67705,-73.972367,"Brooklyn"
"42","Broadway - Brighton","Prospect Park",40.661614,-73.962246,"Brooklyn"
"43","Broadway - Brighton","Parkside Av",40.655292,-73.961495,"Brooklyn"
"44","Broadway - Brighton","Church Av",40.650527,-73.962982,"Brooklyn"
"45","Broadway - Brighton","Beverley Rd",40.644031,-73.964492,"Brooklyn"
"46","Broadway - Brighton","Cortelyou Rd",40.640927,-73.963891,"Brooklyn"
"47","Broadway - Brighton","Newkirk Plaza",40.635082,-73.962793,"Brooklyn"
"48","Broadway - Brighton","Avenue H",40.62927,-73.961639,"Brooklyn"
"49","Broadway - Brighton","Avenue J",40.625039,-73.960803,"Brooklyn"
"50","Broadway - Brighton","Avenue M",40.617618,-73.959399,"Brooklyn"
"51","Broadway - Brighton","Kings Hwy",40.60867,-73.957734,"Brooklyn"
"52","Broadway - Brighton","Avenue U",40.5993,-73.955929,"Brooklyn"
"53","Broadway - Brighton","Neck Rd",40.595246,-73.955161,"Brooklyn"
"54","Broadway - Brighton","Sheepshead Bay",40.586896,-73.954155,"Brooklyn"
"55","Broadway - Brighton","Brighton Beach",40.577621,-73.961376,"Brooklyn"
"56","Broadway - Brighton","Ocean Pkwy",40.576312,-73.968501,"Brooklyn"
"57","Broadway - Brighton","W 8 St-NY Aquarium",40.576127,-73.975939,"Brooklyn"
"58","Sea Beach / West End / Culver / Brighton","Coney Island-Stillwell Av",40.577422,-73.981233,"Brooklyn"
"59","West End","9 Av",40.646292,-73.994324,"Brooklyn"
"60","West End","Fort Hamilton Pkwy",40.640914,-73.994304,"Brooklyn"
"61","West End","50 St",40.63626,-73.994791,"Brooklyn"
"62","West End","55 St",40.631435,-73.995476,"Brooklyn"
"63","West End","62 St",40.626472,-73.996895,"Brooklyn"
"64","West End","71 St",40.619589,-73.998864,"Brooklyn"
"65","West End","79 St",40.613501,-74.00061,"Brooklyn"
"66","West End","18 Av",40.607954,-74.001736,"Brooklyn"
"67","West End","20 Av",40.604556,-73.998168,"Brooklyn"
"68","West End","Bay Pkwy",40.601875,-73.993728,"Brooklyn"
"69","West End","25 Av",40.597704,-73.986829,"Brooklyn"
"70","West End","Bay 50 St",40.588841,-73.983765,"Brooklyn"
"71","Sea Beach","8 Av",40.635064,-74.011719,"Brooklyn"
"72","Sea Beach","Fort Hamilton Pkwy",40.631386,-74.005351,"Brooklyn"
"73","Sea Beach","New Utrecht Av",40.624842,-73.996353,"Brooklyn"
"74","Sea Beach","18 Av",40.620671,-73.990414,"Brooklyn"
"75","Sea Beach","20 Av",40.61741,-73.985026,"Brooklyn"
"76","Sea Beach","Bay Pkwy",40.611815,-73.981848,"Brooklyn"
"77","Sea Beach","Kings Hwy",40.603923,-73.980353,"Brooklyn"
"78","Sea Beach","Avenue U",40.597473,-73.979137,"Brooklyn"
"79","Sea Beach","86 St",40.592721,-73.97823,"Brooklyn"
"80","Jamaica","121 St",40.700492,-73.828294,"Queens"
"81","Jamaica","111 St",40.697418,-73.836345,"Queens"
"82","Jamaica","104 St",40.695178,-73.84433,"Queens"
"83","Jamaica","Woodhaven Blvd",40.693879,-73.851576,"Queens"
"84","Jamaica","85 St-Forest Pkwy",40.692435,-73.86001,"Queens"
"85","Jamaica","75 St-Elderts Ln",40.691324,-73.867139,"Queens"
"86","Jamaica","Cypress Hills",40.689941,-73.87255,"Brooklyn"
"87","Jamaica","Crescent St",40.683194,-73.873785,"Brooklyn"
"88","Jamaica","Norwood Av",40.68141,-73.880039,"Brooklyn"
"89","Jamaica","Cleveland St",40.679947,-73.884639,"Brooklyn"
"90","Jamaica","Van Siclen Av",40.678024,-73.891688,"Brooklyn"
"91","Jamaica","Alabama Av",40.676992,-73.898654,"Brooklyn"
"92","Jamaica","Broadway Junction",40.679498,-73.904512,"Brooklyn"
"93","Jamaica","Chauncey St",40.682893,-73.910456,"Brooklyn"
"94","Jamaica","Halsey St",40.68637,-73.916559,"Brooklyn"
"95","Jamaica","Gates Av",40.68963,-73.92227,"Brooklyn"
"96","Jamaica","Kosciuszko St",40.693342,-73.928814,"Brooklyn"
"97","Jamaica","Myrtle Av",40.697207,-73.935657,"Brooklyn"
"98","Jamaica","Flushing Av",40.70026,-73.941126,"Brooklyn"
"99","Jamaica","Lorimer St",40.703869,-73.947408,"Brooklyn"
"100","Jamaica","Hewes St",40.70687,-73.953431,"Brooklyn"
"101","Jamaica","Marcy Av",40.708359,-73.957757,"Brooklyn"
"102","Jamaica","Delancey St-Essex St",40.718315,-73.987437,"Manhattan"
"103","Jamaica","Bowery",40.72028,-73.993915,"Manhattan"
"104","Jamaica","Canal St",40.718092,-73.999892,"Manhattan"
"105","Jamaica","Chambers St",40.713243,-74.003401,"Manhattan"
"106","Jamaica","Fulton St",40.710374,-74.007582,"Manhattan"
"107","Jamaica","Broad St",40.706476,-74.011056,"Manhattan"
"108","Myrtle Av","Middle Village-Metropolitan Av",40.711396,-73.889601,"Queens"
"109","Myrtle Av","Fresh Pond Rd",40.706186,-73.895877,"Queens"
"110","Myrtle Av","Forest Av",40.704423,-73.903077,"Queens"
"111","Myrtle Av","Seneca Av",40.702762,-73.90774,"Queens"
"112","Myrtle Av","Myrtle-Wyckoff Avs",40.69943,-73.912385,"Brooklyn"
"113","Myrtle Av","Knickerbocker Av",40.698664,-73.919711,"Brooklyn"
"114","Myrtle Av","Central Av",40.697857,-73.927397,"Brooklyn"
"115","Canarsie","8 Av",40.739777,-74.002578,"Manhattan"
"116","Canarsie","6 Av",40.737335,-73.996786,"Manhattan"
"117","Canarsie","14 St-Union Sq",40.734789,-73.99073,"Manhattan"
"118","Canarsie","3 Av",40.732849,-73.986122,"Manhattan"
"119","Canarsie","1 Av",40.730953,-73.981628,"Manhattan"
"120","Canarsie","Bedford Av",40.717304,-73.956872,"Brooklyn"
"121","Canarsie","Lorimer St",40.714063,-73.950275,"Brooklyn"
"122","Canarsie","Graham Av",40.714565,-73.944053,"Brooklyn"
"123","Canarsie","Grand St",40.711926,-73.94067,"Brooklyn"
"124","Canarsie","Montrose Av",40.707739,-73.93985,"Brooklyn"
"125","Canarsie","Morgan Av",40.706152,-73.933147,"Brooklyn"
"126","Canarsie","Jefferson St",40.706607,-73.922913,"Brooklyn"
"127","Canarsie","DeKalb Av",40.703811,-73.918425,"Brooklyn"
"128","Canarsie","Myrtle-Wyckoff Avs",40.699814,-73.911586,"Brooklyn"
"129","Canarsie","Halsey St",40.695602,-73.904084,"Queens"
"130","Canarsie","Wilson Av",40.688764,-73.904046,"Brooklyn"
"131","Canarsie","Bushwick Av-Aberdeen St",40.682829,-73.905249,"Brooklyn"
"132","Canarsie","Broadway Junction",40.678856,-73.90324,"Brooklyn"
"133","Canarsie","Atlantic Av",40.675345,-73.903097,"Brooklyn"
"134","Canarsie","Sutter Av",40.669367,-73.901975,"Brooklyn"
"135","Canarsie","Livonia Av",40.664038,-73.900571,"Brooklyn"
"136","Canarsie","New Lots Av",40.658733,-73.899232,"Brooklyn"
"137","Canarsie","East 105 St",40.650573,-73.899485,"Brooklyn"
"138","Canarsie","Canarsie-Rockaway Pkwy",40.646654,-73.90185,"Brooklyn"
"139","Franklin Shuttle","Franklin Av",40.680596,-73.955827,"Brooklyn"
"140","Franklin Shuttle","Park Pl",40.674772,-73.957624,"Brooklyn"
"141","Franklin Shuttle","Botanic Garden",40.670343,-73.959245,"Brooklyn"
"142","8th Av - Fulton St","Inwood-207 St",40.868072,-73.919899,"Manhattan"
"143","8th Av - Fulton St","Dyckman St",40.865491,-73.927271,"Manhattan"
"144","8th Av - Fulton St","190 St",40.859022,-73.93418,"Manhattan"
"145","8th Av - Fulton St","181 St",40.851695,-73.937969,"Manhattan"
"146","8th Av - Fulton St","175 St",40.847391,-73.939704,"Manhattan"
"147","8th Av - Fulton St","168 St",40.840719,-73.939561,"Manhattan"
"148","8th Av - Fulton St","163 St-Amsterdam Av",40.836013,-73.939892,"Manhattan"
"149","8th Av - Fulton St","155 St",40.830518,-73.941514,"Manhattan"
"150","8th Av - Fulton St","145 St",40.824783,-73.944216,"Manhattan"
"151","Concourse","145 St",40.824783,-73.944216,"Manhattan"
"152","8th Av - Fulton St","135 St",40.817894,-73.947649,"Manhattan"
"153","8th Av - Fulton St","125 St",40.811109,-73.952343,"Manhattan"
"154","8th Av - Fulton St","116 St",40.805085,-73.954882,"Manhattan"
"155","8th Av - Fulton St","Cathedral Pkwy (110 St)",40.800603,-73.958161,"Manhattan"
"156","8th Av - Fulton St","103 St",40.796092,-73.961454,"Manhattan"
"157","8th Av - Fulton St","96 St",40.791642,-73.964696,"Manhattan"
"158","8th Av - Fulton St","86 St",40.785868,-73.968916,"Manhattan"
"159","8th Av - Fulton St","81 St-Museum of Natural History",40.781433,-73.972143,"Manhattan"
"160","8th Av - Fulton St","72 St",40.775594,-73.97641,"Manhattan"
"161","8th Av - Fulton St","59 St-Columbus Circle",40.768296,-73.981736,"Manhattan"
"162","8th Av - Fulton St","50 St",40.762456,-73.985984,"Manhattan"
"163","8th Av - Fulton St","42 St-Port Authority Bus Terminal",40.757308,-73.989735,"Manhattan"
"164","8th Av - Fulton St","34 St-Penn Station",40.752287,-73.993391,"Manhattan"
"165","8th Av - Fulton St","23 St",40.745906,-73.998041,"Manhattan"
"166","8th Av - Fulton St","14 St",40.740893,-74.00169,"Manhattan"
"167","8th Av - Fulton St","W 4 St-Wash Sq",40.732338,-74.000495,"Manhattan"
"168","6th Av - Culver","W 4 St-Wash Sq",40.732338,-74.000495,"Manhattan"
"169","8th Av - Fulton St","Spring St",40.726227,-74.003739,"Manhattan"
"170","8th Av - Fulton St","Canal St",40.720824,-74.005229,"Manhattan"
"171","8th Av - Fulton St","Chambers St",40.714111,-74.008585,"Manhattan"
"172","8th Av - Fulton St","World Trade Center",40.712582,-74.009781,"Manhattan"
"173","8th Av - Fulton St","Fulton St",40.710197,-74.007691,"Manhattan"
"174","8th Av - Fulton St","High St",40.699337,-73.990531,"Brooklyn"
"175","8th Av - Fulton St","Jay St-MetroTech",40.692338,-73.987342,"Brooklyn"
"176","8th Av - Fulton St","Hoyt-Schermerhorn Sts",40.688484,-73.985001,"Brooklyn"
"177","8th Av - Fulton St","Lafayette Av",40.686113,-73.973946,"Brooklyn"
"178","8th Av - Fulton St","Clinton-Washington Avs",40.683263,-73.965838,"Brooklyn"
"179","8th Av - Fulton St","Franklin Av",40.68138,-73.956848,"Brooklyn"
"180","8th Av - Fulton St","Nostrand Av",40.680438,-73.950426,"Brooklyn"
"181","8th Av - Fulton St","Kingston-Throop Avs",40.679921,-73.940858,"Brooklyn"
"182","8th Av - Fulton St","Utica Av",40.679364,-73.930729,"Brooklyn"
"183","8th Av - Fulton St","Ralph Av",40.678822,-73.920786,"Brooklyn"
"184","8th Av - Fulton St","Rockaway Av",40.67834,-73.911946,"Brooklyn"
"185","8th Av - Fulton St","Broadway Junction",40.678334,-73.905316,"Brooklyn"
"186","8th Av - Fulton St","Liberty Av",40.674542,-73.896548,"Brooklyn"
"187","8th Av - Fulton St","Van Siclen Av",40.67271,-73.890358,"Brooklyn"
"188","8th Av - Fulton St","Shepherd Av",40.67413,-73.88075,"Brooklyn"
"189","8th Av - Fulton St","Euclid Av",40.675377,-73.872106,"Brooklyn"
"190","Liberty Av","Grant Av",40.677044,-73.86505,"Brooklyn"
"191","Liberty Av","80 St",40.679371,-73.858992,"Queens"
"192","Liberty Av","88 St",40.679843,-73.85147,"Queens"
"193","Liberty Av","Rockaway Blvd",40.680429,-73.843853,"Queens"
"194","Liberty Av","104 St",40.681711,-73.837683,"Queens"
"195","Liberty Av","111 St",40.684331,-73.832163,"Queens"
"196","Liberty Av","Ozone Park-Lefferts Blvd",40.685951,-73.825798,"Queens"
"197","Rockaway","Aqueduct Racetrack",40.672369,-73.835254,"Queens"
"198","Rockaway","Aqueduct-N Conduit Av",40.668234,-73.834058,"Queens"
"199","Rockaway","Howard Beach-JFK Airport",40.660476,-73.830301,"Queens"
"200","Rockaway","Broad Channel",40.608382,-73.815925,"Queens"
"201","Rockaway","Beach 90 St",40.588034,-73.813641,"Queens"
"202","Rockaway","Beach 98 St",40.585307,-73.820558,"Queens"
"203","Rockaway","Beach 105 St",40.583209,-73.827559,"Queens"
"204","Rockaway","Rockaway Park-Beach 116 St",40.580903,-73.835592,"Queens"
"205","Rockaway","Beach 67 St",40.590927,-73.796924,"Queens"
"206","Rockaway","Beach 60 St",40.592374,-73.788522,"Queens"
"207","Rockaway","Beach 44 St",40.592943,-73.776013,"Queens"
"208","Rockaway","Beach 36 St",40.595398,-73.768175,"Queens"
"209","Rockaway","Beach 25 St",40.600066,-73.761353,"Queens"
"210","Rockaway","Far Rockaway-Mott Av",40.603995,-73.755405,"Queens"
"211","Concourse","Norwood-205 St",40.874811,-73.878855,"Bronx"
"212","Concourse","Bedford Park Blvd",40.873244,-73.887138,"Bronx"
"213","Concourse","Kingsbridge Rd",40.866978,-73.893509,"Bronx"
"214","Concourse","Fordham Rd",40.861296,-73.897749,"Bronx"
"215","Concourse","182-183 Sts",40.856093,-73.900741,"Bronx"
"216","Concourse","Tremont Av",40.85041,-73.905227,"Bronx"
"217","Concourse","174-175 Sts",40.8459,-73.910136,"Bronx"
"218","Concourse","170 St",40.839306,-73.9134,"Bronx"
"219","Concourse","167 St",40.833771,-73.91844,"Bronx"
"220","Concourse","161 St-Yankee Stadium",40.827905,-73.925651,"Bronx"
"221","Concourse","155 St",40.830135,-73.938209,"Manhattan"
"222","63rd St","21 St-Queensbridge",40.754203,-73.942836,"Queens"
"223","63rd St","Roosevelt Island",40.759145,-73.95326,"Manhattan"
"224","63rd St","Lexington Av/63 St",40.764629,-73.966113,"Manhattan"
"225","6th Av - Culver","57 St",40.763972,-73.97745,"Manhattan"
"226","6th Av - Culver","47-50 Sts-Rockefeller Ctr",40.758663,-73.981329,"Manhattan"
"227","6th Av - Culver","42 St-Bryant Pk",40.754222,-73.984569,"Manhattan"
"228","6th Av - Culver","34 St-Herald Sq",40.749719,-73.987823,"Manhattan"
"229","6th Av - Culver","23 St",40.742878,-73.992821,"Manhattan"
"230","6th Av - Culver","14 St",40.738228,-73.996209,"Manhattan"
"231","6th Av - Culver","Broadway-Lafayette St",40.725297,-73.996204,"Manhattan"
"232","6th Av - Culver","Grand St",40.718267,-73.993753,"Manhattan"
"233","6th Av - Culver","2 Av",40.723402,-73.989938,"Manhattan"
"234","6th Av - Culver","Delancey St-Essex St",40.718611,-73.988114,"Manhattan"
"235","6th Av - Culver","East Broadway",40.713715,-73.990173,"Manhattan"
"236","6th Av - Culver","York St",40.701397,-73.986751,"Brooklyn"
"237","6th Av - Culver","Bergen St",40.686145,-73.990862,"Brooklyn"
"238","6th Av - Culver","Carroll St",40.680303,-73.995048,"Brooklyn"
"239","6th Av - Culver","Smith-9 Sts",40.67358,-73.995959,"Brooklyn"
"240","6th Av - Culver","4 Av-9 St",40.670272,-73.989779,"Brooklyn"
"241","6th Av - Culver","7 Av",40.666271,-73.980305,"Brooklyn"
"242","6th Av - Culver","15 St-Prospect Park",40.660365,-73.979493,"Brooklyn"
"243","6th Av - Culver","Fort Hamilton Pkwy",40.650782,-73.975776,"Brooklyn"
"244","6th Av - Culver","Church Av",40.644041,-73.979678,"Brooklyn"
"245","6th Av - Culver","Ditmas Av",40.636119,-73.978172,"Brooklyn"
"246","6th Av - Culver","18 Av",40.629755,-73.976971,"Brooklyn"
"247","6th Av - Culver","Avenue I",40.625322,-73.976127,"Brooklyn"
"248","6th Av - Culver","Bay Pkwy",40.620769,-73.975264,"Brooklyn"
"249","6th Av - Culver","Avenue N",40.61514,-73.974197,"Brooklyn"
